appid,name,language_count,languages
3576070,Sudden Attack Zero Point,3,"English, *, , Portuguese"
2253100,Everwind,1,"English, French, German, Spanish"
1913120,Tears of Metal,1,"English, French, Italian, German, Japanese, Korean, Russian, Simplified Chinese, Spanish"
1963610,Road to Vostok,2,"English, *"
1059220,'83,1,English
1181550,Carnival Hunt,13,"English, *, , French, , Italian, , German, , Spanish, , Japanese, , Korean, , Russian, , Simplified Chinese, , Swedish, , Traditional Chinese, , Arabic, Bulgarian, Portuguese"
3583210,Crashout Crew,3,"English, *, , French, Italian, German, Spanish"
3636770,Servant of the Lake,1,"English, French, Italian, German, Spanish"
3105440,Heroes of Might and Magic: Olden Era,3,"English, *, , French, German, Spanish"
2966320,Starsand Island,5,"Simplified Chinese, *, , English, , Japanese, , Traditional Chinese"
2652600,SealChain: Call of Blood,1,"Simplified Chinese, English, German, Spanish"
3270430,Systemic War,3,"English, *, , Polish"
2413950,Final Sentence,3,"English, *, , French, German, Spanish"
2532480,"Warhammer 40,000: Mechanicus II",3,"English, *, , French, Italian, German, Spanish"
3810880,"THE CUBE, SAVE US",1,"English, French, German, Spanish"
3009300,Teamfight Manager 2,1,"English, Korean, German, Japanese, Simplified Chinese, Traditional Chinese, French, Spanish"
2643390,Star Trek: Voyager - Across the Unknown,3,"English, *, , French, German, Spanish"
2830030,MOTORSLICE,3,"English, *, , Portuguese"
2914150,Yunyun Syndrome!? Rhythm Psychosis,3,"English, Simplified Chinese, Japanese, *, , Traditional Chinese, Korean, French, German, Portuguese"
2697000,The Legend of Khiimori,4,"English, *, , German, French, Spanish, , Serbian, Slovak, Tamil"
3643170,Roadside Research,1,"English, French, Italian, German, Spanish"
1263240,Skate Story,3,"English, *, , French, German, Spanish"
1588550,Cairn,3,"English, *, , French, Italian, German, Spanish"
1783560,The Last Caretaker,3,"English, *, , French, German, Japanese, Portuguese"
1826420,CarX Drift Racing Online 2,1,"Russian, English"
2070270,Cloudheim,1,"English, French, German, Spanish"
2119830,MISERY,15,"English, *, , Russian, , French, , Italian, , German, , Spanish, , Japanese, , Korean, , Polish, , Portuguese, , Simplified Chinese, , Traditional Chinese, , Turkish, , Ukrainian"
2129530,REANIMAL,10,"English, *, , French, , Italian, German, , Spanish, , Traditional Chinese, Simplified Chinese, , Japanese, , Korean, Polish, , Russian, , Czech"
2300120,Painkiller,3,"English, *, , French, Italian, German, Spanish"
2397300,Half Sword,1,English
2432860,MENACE,3,"English, *, , French, German, Spanish"
2687400,GODBREAKERS,3,"English, *, , French, Italian, German, Spanish"
2753970,MARVEL Cosmic Invasion,3,"English, *, , French, Italian, German, Spanish"
2795540,The Midnight Walkers,3,"English, *, , Korean, Japanese, Simplified Chinese, French, Italian, German, Spanish"
2878450,Master of Command,4,"English, *, , French, German, , Spanish"
2893820,Of Ash and Steel,4,"English, *, , Russian, , French, German, Spanish"
2923350,Ultimate Sheep Raccoon,1,"English, French, Japanese, Korean, Russian, Simplified Chinese, Traditional Chinese, Italian, German, Polish, Spanish"
2956680,LORT,3,"English, *, , Simplified Chinese, French, German, Spanish"
2968420,PowerWash Simulator 2,1,"English, French, Italian, German, Spanish"
3124340,Demeo x Dungeons & Dragons: Battlemarked,3,"English, *, , French, German, Japanese, Korean, Spanish"
3179350,Long Drive North: Co-Op RV Simulator,3,"English, *, , French, Italian, German, Spanish"
3226450,iRacing Arcade,1,"English, French, Italian, German, Portuguese"
3274580,Anno 117: Pax Romana,6,"English, *, , French, , Italian, German, , Spanish, , Traditional Chinese"
3417410,Storebound,1,"English, French, Italian, German, Spanish"
3419520,Quarantine Zone: The Last Check,4,"English, *, , French, Italian, German, Spanish, , Simplified Chinese, Spanish"
3501070,Car Service Together,3,"English, *, , French, Italian, German, Spanish"
3762550,HELLMART,3,"English, *, , French, Italian, German, Spanish"
3772810,Desktop Defender,1,"English, French, Italian, German, Spanish"
3834090,YAPYAP,3,"English, *, , French, Italian, German, Spanish"
3446240,Eastern Era,4,"Traditional Chinese, *, , English, Simplified Chinese, , German, Spanish"
